,text
650,3 Apr A week of testing the ability of vibe coding games using @claudeai Code. Test 1: web-based bullet heaven Test 2: MMO prototyping Test 3: emergent gameplay Test 4: Unity mobile game prototype There's a learning curve to say the least but I am seeing the potential. 4 1 19 758
651,"3 Apr the biggest risk of vibe coding for product managers is becoming the best junior software developer in the industry. vibe code to build conviction and learn faster, not to change titles. spend more time with your users. 4 2 12 1 rb"
652,"3 Apr Definitely inaccurate, checked twice, two different results Well they said it was just vibe coding so it is understandable Kutipan Foxy @FoxyhitsW 3 Apr my q1 recap: > gained 983 followers > gained 17 smart followers > gooned 347 times now show me yours x.com/R3ACHNTWRK/sta… 10 255"
653,"3 Apr Bro, there are so many bad products in the world that people have simply stopped trusting marketing. Breaking through that noise is hard, especially now (hello, vibe coding). Focus on product quality. And be patient. You'll get there. #buildinpublic #startups 11 1 41 1 rb"
654,"3 Apr Vibe coding is going to be taken to a whole other level with this one, but first let’s focus on getting them usage limits fixed. 4 668"
655,"3 Apr Siempre consideré que Cursor ocupa un lugar diferente a Claude Code o Codex. Ese lugar en el cual aún tenés más control sobre lo que hacés. Hoy estoy pagando tanto Claude como Cursor y los vengo usando en simultáneo. Claude para experimentar, vibecoding o tasks de Kutipan Cursor @cursor_ai 3 Apr Diterjemahkan dari Inggris Kami memperkenalkan Cursor 3. Ia lebih sederhana, lebih kuat, dan dibangun untuk dunia di mana semua kode ditulis oleh agen, sambil tetap mempertahankan kedalaman lingkungan pengembangan. 1 9 563"
656,"3 Apr the story behind this solo founder that vibe-coded his way to $1.8 Billion gets even better, what a fucking chad: - born in a trailer park, fell in love with computers at 12, couldn’t afford shit - had to drop out of university - 20 years later he builds a viral URL app, Kutipan nic carter @nic_carter 2 Apr first vibecoded billion-dollar company? 8 4 70 11 rb"
657,3 Apr @claude developer doing vibe coding or working 10+ hrs?? Dropping new feature everyday is just insane 4 529
658,3 Apr At @JoinFAI vibecoding on company time is strongly encouraged Kutipan Kelsey Piper @KelseyTuoc 2 Apr Cool project: the DC Waymo delay dashboard tracks how many DC residents are dead because the mayor and city council keep demanding studies instead of allowing Waymo: https:// tbhochman.github.io/dc-waymo-dashb oard/ … 1 4 37 4 rb
659,3 Apr vibe coding + research/vibecraft modding vibe coding + research/vibecraft modding 3 49
660,3 Apr Hace algún tiempo hice esta Nintendo GameBoy sólo con código HTML/CSS. Me ha picado la curiosidad por ver que se puede conseguir al estilo «vibecoding» con las diferentes inteligencias artificiales (LLM) en un sólo prompt. Al final del hilo tiene el repo ¡Vamos allá! 13 24 230 45 rb
661,"3 Apr I'm going to be real. This might be my last year gambling on sports. I'm too old to learn this shit and vibe coding is about to take away every edge available to normal people in pretty much any format. Kutipan draftballr @draftballr 3 Apr The Film Terminal Watch clips on players, take notes, rearrange your board on the fly as needed. I've embedded @cashiggy11 (who i think makes the absolute best film cuts), @bjpf_ , and @NoCeilingsNBA youtube videos among some other creators here for easy access. 2 265"
